,source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,laguage_code,country_code
0,Google Play,524a07d5-6ad4-46e8-983f-71fed2897cce,Angel Monroy,,excelente app... todo muy explícito y comprensivo para Home gym.,5,3,2022-12-05 11:50:58,Thank you for your review!,2022-12-07 16:14:41,es,CL
1,Google Play,e29b681c-e5f5-45c3-aa97-94390be76f9e,Angel Barboza,,Love it ☺️,5,0,2022-10-16 22:02:38,"Thank you for your review, Angel! ☺️",2022-10-18 13:13:05,es,CL
2,Google Play,09e4134c-9cf4-4d62-9e73-17e4642bcf51,Rafa Ayola,,No me gustó,2,2,2022-08-28 17:33:27,"Hey Rafa, please send us a message at reviews@fitbod.me. We'd love to hear more about your feedback so we can continue improving. Thank you!",2022-08-31 11:53:10,es,CL
3,Google Play,0e852399-9f7c-4f32-a39b-878030528a50,Isaiah Young,,simple navigation and very useful and effective,5,0,2022-08-12 15:37:53,"Thank you for your 5 - star review, Isaiah!!",2022-08-16 11:32:36,es,CL
4,Google Play,a8c11693-5c5c-4719-8dac-1da6d86100fe,luis miguel,,"He entrenado más de seis meses con Nike training club y más de un año con Adidas training y me quedo con esta app. Así como las apps anteriores, Fitbod me permite entrenar con peso corporal y programa las rutinas de entrenamiento en funcion de los objetivos pero a diferencia de estás, incorporara peso adicional, me permite registrar repeticiones, peso por ejercicio, y discrimina el progreso y agotamiento por grupo muscular. Deben mejorar el calentamiento y los estiramientos.",5,5,2022-08-07 07:51:18,"Thank you for your 5 - star review, Luis!! We've also just added warm-up and cool-down to Android as well :) If you have any additional thoughts or feedback on how it can be improved, please reach out to reviews@fitbod.me. We look forward to hearing from you!",2022-08-08 14:19:04,es,CL
5,Google Play,0a467530-c9dd-4a68-acb1-5c1e471f09ff,hector flores,,muy buena aplicación me a ayudado mucho. la recomiendo..,5,0,2022-06-10 16:32:13,"Hector, thank you so much for your 5 - star review!! We are honored to be a part of your health and fitness journey!",2022-06-12 19:34:30,es,CL
6,Google Play,635648df-9a55-4b22-b742-e916a8e74d3c,Luis Ramblas,,Solo tienes derecho a 3 rutinas y despues hay que pagar 3k por seguirla usando xD,2,3,2022-05-17 11:22:30,,,es,CL
7,Google Play,57f8eab0-0b84-4d87-9138-1d1afb9972c9,Jose Ernesto Sanchez Altamirano,,"Es simplemente lo que se becesita pra entrenar, yo lo uso en casa pero sirve para cualquier lugar!! ... hay quienes dicen que le faltan funciones en la versión android! pero es super completa y sirve a cualquier nivel!! excelente (igual cualquier mejora es siempre bienvenida)",5,8,2022-05-13 13:49:43,"Thank you for your 5-star review, Jose! Glad we could help you train and become one step closer to your fitness goals!",2022-05-18 09:19:34,es,CL
8,Google Play,ab274242-abb3-4d47-9205-8a4443eb3fd7,Sebastian,,"Really like the app, it's only missing a ""skip training"" button, for example, I got a little discomfort on my leg so I don't want to train my lower body, and to skip that day you have to pretty much manually make everything.",4,0,2022-04-11 17:39:19,,,es,CL
9,Google Play,b569079a-bd9d-487d-ad77-5da14d35ef45,Julio Maradiaga,,"So far, so good. Great app.",5,0,2022-04-10 13:04:34,,,es,CL
10,Google Play,a04e1d58-7e23-4790-8b37-084f4079f57b,Álvaro Delgado Quintana,,It shows an error when sending the email verification.,1,1,2022-04-04 23:10:28,,,es,CL
11,Google Play,73afaff7-2140-47f8-86c1-17d45a11b303,albert materan,,Sería genial tener una versión en español tendria más alcance,5,2,2022-03-15 02:08:10,,,es,CL
12,Google Play,877e70b7-f6b3-485c-b8ec-efb4822cb691,Jesús BM,,Por favor añadan el idioma español y sería perfecta gracias,4,3,2022-03-12 10:09:51,,,es,CL
13,Google Play,32b354fc-723e-47d6-8780-b6afbdbebdee,Diego Rodriguez,,"La aplicación me gusta, es de de lo mejor que hay en Android, pero todavía está en desarrollo. Hay cosas que todavía no están implementadas con respecto a la versión de IPhone. Es compatible con los relojes WearOS 3, pero por ahora solo permite logear los ejercicios. Cambia automáticamente de ejercicio dentro de una superserie, pero no muestra los temporizadores de descanso. Esto debería de ser prioritario! Por ahora dejo 3 estrellas, con la esperanza de que mejore en un futuro próximo.",3,12,2022-03-06 16:35:54,,,es,CL
14,Google Play,9b228757-9d01-4b5b-be02-589c4b961f94,Magnote,,"No se porque tiene tantas quejas, a mí me funciona muy bien, compré la suscripción y las rutinas son muy buenas.",5,1,2022-03-03 09:14:46,,,es,CL
15,Google Play,ba0eae86-8a2e-4a4f-b308-5522f14cec3b,Javier Pérez,,"Me gusta el diseño y su funcionamiento, pero en Android y Wear OS esta sin terminar. Tiene un precio alto para que le falten tantas cosas. Si la ponen al mismo nivel que iOS estare encantado de pagar por ella. En Wear OS veo imprescindible las opciones que tiene en Apple Watch (cambiar peso, repeticiones, imagen del ejercicio), sin ellas esta muy limitado y te obliga a usar el telefono, por lo que no tiene mucho sentido.",2,17,2022-02-19 04:08:34,,,es,CL
16,Google Play,e22f381f-0ef7-40c4-b255-08a495294d54,Dario Fernandez Torre,,"Awesome app, I'd purchase the monthly subscription if it wasn't for the innapropiate regional pricing for Argentina. With the current rate it's cheaper to hire a personal trainer to help me with my workouts. Please consider reviewing it as it should be at maximum 1/3 of the current price.",3,1,2022-02-14 12:19:55,,,es,CL
17,Google Play,9b1f7faf-4df7-461f-99e8-762b4dfaed65,Juan Alcorta,,I have no idea how to change lb into kg,4,0,2022-01-25 18:41:43,,,es,CL
18,Google Play,d5046c8d-0b83-4664-b6bd-40bbb922e71a,Aday,,Le falta el idioma español,3,4,2021-11-18 19:10:06,,,es,CL
19,Google Play,45bf2a74-5660-413d-9e27-ecd0855c5e72,Gio Santamaria,,the best,5,0,2021-10-28 17:56:49,"You're the best, Gio! Thanks for the review 😊😊",2021-11-09 13:21:19,es,CL
